"admixture","description"
"african_american_sw","America (African origin)"
"african_caribbean","Caribbean (African origin)"
"bengali","Bangladesh"
"british","United Kingdom"
"ceph","North and Western Europe"
"colombian","Colombia"
"dai_chinese","China (Xishuangbanna)"
"esan","Nigeria (Esan origin)"
"finnish","Finland"
"gambian","Gambia"
"gujarati","India (Gujarati origin)"
"han_chinese","China (Beijing)"
"indian","India (Telugu origin)"
"japanese","Japan"
"kinh_vietnamese","Vietnam"
"luhya","Kenya"
"mende","Sierra Leone"
"mexican_american","Mexico"
"peruvian","Peru"
"puerto_rican","Puerto Rico"
"punjabi","Pakistan"
"southern_han_chinese","China (Southern Han)"
"spanish","Spain"
"sri_lankan","Sri Lankan"
"yoruba","Nigeria (Yoruba origin)"
"tuscan","Southern Europe"